Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,ADS,100,100,116.74,117.71,97,0,0,0,97,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,3,3,"3,247.68","3,203.08",-133.8,0,0,0,-133.8,
Mark-to-Market Performance Summary,Data,Stocks,APO,900,900,56.77,57.43,594,0,0,0,594,
Mark-to-Market Performance Summary,Data,Stocks,AY,200,200,36.83,36.93,20,0,0,0,20,
Mark-to-Market Performance Summary,Data,Stocks,BA,300,300,227.65,234.82,2151,0,0,0,2151,
Mark-to-Market Performance Summary,Data,Stocks,COF,80,80,157.81,159.05,99.2,0,0,0,99.2,
Mark-to-Market Performance Summary,Data,Stocks,COMM,800,800,18.41,18.63,176,0,0,0,176,
Mark-to-Market Performance Summary,Data,Stocks,CS,1000,1000,22.375,22.545,207.077,0,0,0,207.077,
Mark-to-Market Performance Summary,Data,Stocks,DISCA,100,100,31.85,31.47,-38,0,0,0,-38,
Mark-to-Market Performance Summary,Data,Stocks,EL,100,100,297.97,296.75,-122,0,0,0,-122,
Mark-to-Market Performance Summary,Data,Stocks,EWG,400,400,35.57,35.57,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Stocks,EWT,250,250,59.95,59.18,-192.5,0,0,0,-192.5,
Mark-to-Market Performance Summary,Data,Stocks,HUBS,20,20,502.58,504.71,42.6,0,0,0,42.6,
Mark-to-Market Performance Summary,Data,Stocks,HUM,109,109,439.75,446,681.25,0,0,0,681.25,
Mark-to-Market Performance Summary,Data,Stocks,IJS,200,400,103.81,104.59,156,-58,-1,0,97,
Mark-to-Market Performance Summary,Data,Stocks,JCI,100,100,64.23,64.5,27,0,0,0,27,
Mark-to-Market Performance Summary,Data,Stocks,JETS,1700,1700,26.03,25.94,-153,0,0,0,-153,
Mark-to-Market Performance Summary,Data,Stocks,PATK,350,350,88.27,87.59,-238,0,0,0,-238,
Mark-to-Market Performance Summary,Data,Stocks,PG,200,0,138,138,0,82.1,-1.16497871,0,80.93502129,
Mark-to-Market Performance Summary,Data,Stocks,PRX,200,200,85,83.5,-365.43,0,0,0,-365.43,
Mark-to-Market Performance Summary,Data,Stocks,PVH,50,50,110.03,109.25,-39,0,0,0,-39,
Mark-to-Market Performance Summary,Data,Stocks,QQQ,-1050,-1050,328.83,327.01,1911,0,0,0,1911,
Mark-to-Market Performance Summary,Data,Stocks,REAL,400,400,15.54,15.05,-196,0,0,0,-196,
Mark-to-Market Performance Summary,Data,Stocks,RING,0,-300,--,33.19,0,-48,-1.5862359,0,-49.5862359,
Mark-to-Market Performance Summary,Data,Stocks,SONO,1300,1300,33.36,34.99,2119,0,0,0,2119,
Mark-to-Market Performance Summary,Data,Stocks,SPG,600,600,122.57,122.38,-114,0,0,0,-114,
Mark-to-Market Performance Summary,Data,Stocks,SPY,-239,1,415.28,414.94,81.26,118.3,-3.06927031,0,196.4907297,
Mark-to-Market Performance Summary,Data,Stocks,VDE,200,200,72.48,72.66,36,0,0,0,36,
Mark-to-Market Performance Summary,Data,Stocks,VGK,200,200,68.26,68.3,8,0,0,0,8,
Mark-to-Market Performance Summary,Data,Stocks,WYNN,350,350,126.63,127.36,255.5,0,0,0,255.5,
Mark-to-Market Performance Summary,Data,Stocks,XHB,950,950,73.07,72.59,-456,0,0,0,-456,
Mark-to-Market Performance Summary,Data,Stocks,XLB,200,200,86.41,86.6,38,0,0,0,38,
Mark-to-Market Performance Summary,Data,Stocks,XLE,900,900,52.05,52.16,99,0,0,0,99,
Mark-to-Market Performance Summary,Data,Stocks,XLF,2600,2200,37.21,37.58,962,18,-2.124355,0,977.875645,
Mark-to-Market Performance Summary,Data,Stocks,XLP,900,900,71.01,71.02,9,0,0,0,9,
Mark-to-Market Performance Summary,Data,Stocks,XLY,-495,-695,169.4,168.55,420.75,118.4,-1.19632484,0,537.9536752,